OLD FARM RD @ LAZY HOLLOW DR,S12587,-95.513325,29.741578,53,Ho414_4620_36027,Ho414_4620_36027_0
OLD FARM RD @ WESTHEIMER RD,S12588,-95.510253,29.737908,54,Ho414_4620_36027,Ho414_4620_36027_0
OLD FARM RD @ WESTHEIMER RD,S12588,-95.510253,29.737908,1,Ho414_4620_36027,Ho414_4620_36027_1
FONDREN RD @ BELLERIVE DR,S12933,-95.520869,29.713348,16,Ho414_4620_36027,Ho414_4620_36027_1
FONDREN RD @ MOONMIST DR,S12934,-95.521462,29.711462,17,Ho414_4620_36027,Ho414_4620_36027_1
FONDREN RD @ CLAREWOOD DR,S12935,-95.521471,29.709522,18,Ho414_4620_36027,Ho414_4620_36027_1
WESTHEIMER RD @ OLD FARM RD,S161,-95.512175,29.737639,2,Ho414_4620_36027,Ho414_4620_36027_1
FONDREN RD @ OREM DR,S4719,-95.507223,29.627406,3,Ho414_4620_36027,Ho414_4620_36027_0
FONDREN RD @ S MAIN ST,S4720,-95.507265,29.629332,4,Ho414_4620_36027,Ho414_4620_36027_0
FONDREN RD @ S MAIN ST,S4721,-95.507566,29.629668,51,Ho414_4620_36027,Ho414_4620_36027_1
FONDREN RD @ MAIN ST,S4722,-95.507486,29.627045,52,Ho414_4620_36027,Ho414_4620_36027_1
FONDREN RD @ GUILDFORD RD,S5114,-95.515551,29.698209,24,Ho414_4620_36027,Ho414_4620_36027_1
FONDREN RD @ SHARPVIEW DR,S5115,-95.51435,29.697151,25,Ho414_4620_36027,Ho414_4620_36027_1
FONDREN RD @ SHARPCREST LN,S5116,-95.512237,29.695303,26,Ho414_4620_36027,Ho414_4620_36027_1
FONDREN RD @ BEECHNUT ST,S5117,-95.510208,29.692295,27,Ho414_4620_36027,Ho414_4620_36027_1
FONDREN RD @ BISSONNET ST,S5118,-95.508888,29.68691,28,Ho414_4620_36027,Ho414_4620_36027_1
FONDREN RD @ JACKWOOD ST,S5119,-95.508873,29.684722,29,Ho414_4620_36027,Ho414_4620_36027_1
